ID_Denuncia,FechaDenuncia,HoraDenuncia,TipoRobo,ZonaHecho,NombreDenunciante,EdadDenunciante,GeneroDenunciante,DescripcionHecho,MedioPrueba,UnidadInvestigacion,EstadoCaso,SospechosoIdentificado,MontoEstimadoPerdido,ReincidenciaZona
FELCC-00001,2025-05-07,05:54:20,Robo a mano armada,Miraflores,Bernarda del Lopez,26,Masculino,Consectetur fuga maxime. Libero similique totam provident placeat. Tempora quas dicta vero nemo tempora.,Cámara de seguridad,División Cibercrimen,En investigación,Sí,40244,Alta
FELCC-00002,2025-05-07,12:29:46,Robo domiciliario,El Alto 1ra,Florencia Salamanca,49,Femenino,"Eos sapiente commodi quia magnam maxime. Explicabo quas saepe pariatur.
Repellat facilis sunt assumenda inventore velit. Distinctio porro labore illo molestias.",Huella digital,División Cibercrimen,Derivado a fiscalía,Sí,15445,Baja
FELCC-00003,2025-05-07,04:11:20,Robo a mano armada,Zona Sur,Marina de Puig,48,Femenino,"Accusantium officiis eaque odio labore porro error.
Earum cupiditate porro sit soluta. Accusamus illum architecto corporis iusto architecto.",Testigos,División Cibercrimen,Sin pistas,No,42621,Alta
FELCC-00004,2025-05-07,10:33:58,Robo de vehículo,Sopocachi,Eustaquio Cándido Acosta Palacio,30,Masculino,"Vel impedit necessitatibus sed. Maiores rem quos natus dicta esse.
Sequi consequatur nisi architecto aperiam voluptas.",Huella digital,Unidad de Robo de Vehículos,Cerrado,No,2811,Media
FELCC-00005,2025-05-07,08:08:46,Robo domiciliario,Sopocachi,Emiliana Dalmau Franch,43,Masculino,Vitae aliquid magnam voluptatem quam doloremque laborum odit. Nobis dignissimos cupiditate neque.,Ninguno,Unidad de Robo de Vehículos,En investigación,Sí,6526,Media
FELCC-00006,2025-05-07,21:59:41,Robo a comercio,Zona Sur,Rosario Teruel Guardia,53,Masculino,Totam esse sequi a excepturi. Repellat ipsam consectetur esse dolor corrupti nisi incidunt.,Reconocimiento visual,División Cibercrimen,En investigación,No,13155,Alta
FELCC-00007,2025-05-07,13:07:18,Robo a comercio,Zona Sur,Javiera Pinedo,44,Masculino,Doloribus molestias similique minus necessitatibus quisquam quam. Numquam id fuga assumenda consequuntur maxime.,Huella digital,Unidad de Robo de Vehículos,Con detenido,No,31066,Baja
FELCC-00008,2025-05-07,20:52:48,Robo en vía pública,El Alto 1ra,Xiomara Leiva Acedo,56,Masculino,Perferendis perferendis sequi veniam asperiores cupiditate magnam laudantium. Iusto asperiores non blanditiis iste tenetur soluta et. Eveniet quisquam officiis magni.,Cámara de seguridad,División Cibercrimen,Con detenido,Sí,41369,Alta
FELCC-00009,2025-05-07,04:25:56,Robo en vía pública,Zona Sur,Irene Canales Flor,73,Femenino,Debitis id ea quidem. Facilis ducimus quae dolore enim consequuntur itaque unde.,Reconocimiento visual,Unidad de Robo de Vehículos,Con detenido,No,23363,Alta
FELCC-00010,2025-05-07,17:40:09,Robo de vehículo,Zona Sur,Vasco Alberola-Lamas,68,Masculino,Praesentium officia odit enim recusandae aliquam reprehenderit quasi. Ad totam voluptas nostrum praesentium necessitatibus. Minima aliquam nulla libero illum enim.,Ninguno,Unidad de Robo de Vehículos,Sin pistas,No,11229,Alta
FELCC-00011,2025-05-07,07:52:19,Robo domiciliario,Zona Sur,Ricarda Fernández-Calleja,41,Masculino,"Consectetur eum facere optio aspernatur eum. Corrupti quia illum sunt ut est.
Voluptatum unde aliquid laborum sapiente voluptatum reiciendis. Magni fugit culpa cum architecto.",Ninguno,Unidad de Robo de Vehículos,Con detenido,No,41006,Baja
FELCC-00012,2025-05-07,04:39:28,Robo a comercio,El Alto 1ra,Ibán Iriarte Polo,30,Masculino,"Culpa doloribus repudiandae. Sed architecto expedita aspernatur sit porro sit.
Reprehenderit dolore itaque aliquam minima dolorem officia.",Cámara de seguridad,División Cibercrimen,Cerrado,No,6970,Media
FELCC-00013,2025-05-07,19:39:38,Robo de vehículo,Villa El Carmen,Javiera del Castejón,68,Femenino,"Expedita nam consequatur. Voluptas voluptates provident eaque.
Perferendis hic cum dicta soluta quis repudiandae. Eos hic fuga tenetur aspernatur iure labore dolore.",Huella digital,Unidad de Delitos Contra la Propiedad,Con detenido,Sí,1255,Baja
FELCC-00014,2025-05-07,01:03:03,Robo a comercio,Miraflores,Damián de Llorens,37,Femenino,Suscipit autem accusantium distinctio. Aperiam illum deserunt sequi. Laudantium adipisci enim quos occaecati aspernatur assumenda.,Testigos,División Cibercrimen,Cerrado,Sí,16467,Alta
FELCC-00015,2025-05-07,12:30:17,Robo domiciliario,Zona Sur,Édgar Manolo Pedraza Montoya,56,Femenino,Ex ratione exercitationem quisquam nulla. Amet nostrum incidunt ad placeat. Sit quod velit nisi. Deserunt natus tenetur.,Huella digital,División Cibercrimen,En investigación,No,19898,Baja
FELCC-00016,2025-05-07,06:37:20,Robo de vehículo,Zona Sur,Yolanda de Figueroa,55,Masculino,Quasi aliquam illum laboriosam tempore praesentium quae expedita. Quo nesciunt magni aperiam officiis magni saepe. Sunt vel debitis laboriosam nobis.,Testigos,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,12173,Baja
FELCC-00017,2025-05-07,21:28:39,Robo a mano armada,Sopocachi,Mariano del Guerrero,26,Femenino,Esse occaecati dolores veritatis quae libero minus. Sapiente perferendis iste aliquam mollitia repellendus ipsum dolorem.,Cámara de seguridad,Unidad de Delitos Contra la Propiedad,En investigación,Sí,13497,Baja
FELCC-00018,2025-05-07,17:21:04,Robo domiciliario,Zona Sur,Ruperta Solís Sevilla,53,Masculino,Maiores saepe odio. Qui a placeat aperiam. Labore consequatur accusantium. Assumenda assumenda aspernatur veniam.,Huella digital,División Cibercrimen,Cerrado,No,30800,Alta
FELCC-00019,2025-05-07,10:53:20,Robo a comercio,Sopocachi,Nilda Porcel-Villalba,39,Masculino,"Quo et quos dolorum eos. Necessitatibus explicabo aliquid magni.
Eum fugit occaecati reiciendis eius. Reiciendis praesentium animi nostrum unde.",Reconocimiento visual,División Cibercrimen,Derivado a fiscalía,Sí,19518,Alta
FELCC-00020,2025-05-07,05:10:00,Robo en vía pública,Miraflores,Pablo Jeremías Jara Campos,33,Femenino,"Dignissimos eveniet ullam eum voluptatibus delectus. Temporibus cum nulla ad.
Esse nemo ullam nemo. Expedita pariatur assumenda laboriosam distinctio fugiat.",Testigos,División Cibercrimen,Con detenido,No,41217,Media
FELCC-00021,2025-05-07,12:45:11,Robo a comercio,Zona Sur,Augusto Gonzalez Machado,54,Femenino,Accusantium veritatis et. Assumenda vel incidunt quasi quidem blanditiis quis dolorum. Accusamus labore aspernatur quidem nam.,Cámara de seguridad,División Cibercrimen,Sin pistas,No,23186,Baja
FELCC-00022,2025-05-07,15:37:20,Robo en vía pública,Villa El Carmen,María Ángeles Berenguer Calatayud,62,Masculino,Voluptate occaecati sunt quod commodi aliquid magni. Laboriosam commodi corrupti beatae laudantium accusamus corporis. Dolorum quibusdam dolorem voluptates perferendis nemo.,Huella digital,Unidad de Robo de Vehículos,Cerrado,No,19980,Baja
FELCC-00023,2025-05-07,02:02:39,Robo domiciliario,El Alto 1ra,Alejandro Manu Pedro Plaza,62,Masculino,Vero facere possimus modi mollitia dicta autem. Officiis commodi laboriosam culpa repudiandae sed maxime ut. Itaque voluptatum vel adipisci fuga.,Ninguno,Unidad de Robo de Vehículos,Cerrado,Sí,21273,Baja
